watch_id,user_id,user_age,gender,country,subscription_plan,content_id,content_title,content_type,genre,release_year,director,device,watch_date,minutes_watched,completed,rating,payment_method,payment_status
1,840,58,Male,India,Premium,33,Large Wall,Movie,Documentary,2005,Richard Lane,Mobile,2025-12-27,147,Yes,3,UPI,Success
2,3437,56,Male,India,Basic,285,Ability Modern,Movie,Documentary,2018,Joshua Mccarty,Smart TV,2026-06-04,82,No,5,NetBanking,Success
3,3113,35,Male,India,Student,353,Throughout Southern,Series,Drama,2008,Trevor Brown,Mobile,2025-12-25,97,Yes,3,NetBanking,Success
4,2963,25,Male,USA,Standard,47,Seem When,Movie,Adventure,2015,Daniel King,Laptop,2025-12-25,140,Yes,3,UPI,Success
5,3033,24,Female,India,Standard,274,Fund Air,Movie,Sci-Fi,2024,Jill Clark,Smart TV,2026-04-06,105,Yes,4,NetBanking,Success
6,1800,28,Female,Canada,Standard,795,Political Spring,Movie,Sci-Fi,2018,Shane Rogers,Smart TV,2026-03-26,105,Yes,5,UPI,Success
7,2578,43,Male,USA,Standard,406,Her Prove,Series,Drama,2016,Paige Todd,Smart TV,2026-05-15,141,Yes,5,Card,Success
8,4781,65,Female,India,Standard,142,Side Hope,Series,Drama,2016,Todd Edwards,Mobile,2026-02-17,125,Yes,4,UPI,Success
9,3153,27,Female,India,Family,480,Her Money,Series,Comedy,2011,Brandon Raymond,Mobile,2026-03-21,75,No,4,NetBanking,Success
10,914,61,Female,India,Family,465,Choice Reach,Movie,Biography,2022,Matthew Myers,Laptop,2026-02-06,95,Yes,4,NetBanking,Success
11,4159,50,Male,India,Student,781,Music Me,Movie,Biography,2007,Stephanie Keith,Mobile,2026-07-26,75,No,5,NetBanking,Success
12,1962,19,Male,India,Standard,581,Step Still,Movie,Action,2024,Chad Jackson,Mobile,2026-06-22,100,Yes,5,NetBanking,Success
13,3894,22,Male,India,Premium,894,Fear For,Series,Adventure,2002,Jennifer Robinson,Smart TV,2025-08-17,141,Yes,3,NetBanking,Success
14,3589,62,Female,India,Standard,231,Woman Which,Movie,Documentary,2019,Cathy Campbell,Laptop,2025-10-27,71,No,4,UPI,Success
15,1876,32,Male,Canada,Basic,881,Garden Writer,Series,Thriller,2020,Kristen Fernandez,Mobile,2026-04-22,50,No,4,NetBanking,Success
16,4678,60,Female,India,Premium,485,Fire Relationship,Series,History,2021,Kenneth Haley,Smart TV,2025-09-24,120,Yes,5,UPI,Success
17,807,45,Male,India,Standard,348,Him Wrong,Movie,Thriller,2025,Erin Scott,Smart TV,2025-11-23,89,No,5,UPI,Success
18,618,46,Female,UK,Basic,877,Instead Interest,Movie,Documentary,2012,Cameron Mcconnell,Mobile,2026-07-25,91,Yes,3,NetBanking,Failed
19,3330,18,Female,India,Student,886,Eat Institution,Series,Adventure,2025,Olivia Wilson,Mobile,2025-11-17,66,No,3,UPI,Success
20,4553,42,Female,India,Family,304,Raise Reveal,Movie,Drama,2012,Randy Taylor,Mobile,2025-10-12,56,No,3,NetBanking,Success
21,4351,21,Male,India,Basic,521,Of Pass,Movie,Comedy,2016,Kendra Edwards,Smart TV,2025-11-07,114,Yes,4,UPI,Success
22,4871,61,Male,India,Standard,430,Series Ten,Series,Biography,2016,Michael Stanton,Laptop,2026-01-12,105,Yes,3,UPI,Success
23,3746,38,Female,Australia,Standard,75,Child Party,Movie,Drama,2019,Kelly Bryant,Tablet,2025-12-05,111,Yes,4,NetBanking,Failed
24,2860,24,Male,Canada,Standard,379,Help True,Series,Action,2006,Michael Brown,Smart TV,2025-09-04,81,No,3,Card,Success
25,65,63,Female,Australia,Student,107,Seek Strategy,Movie,History,2023,Jennifer Cruz,Laptop,2025-08-08,74,No,5,UPI,Success
26,2809,65,Male,USA,Standard,874,Bill Explain,Series,Drama,2017,Ashley Bell,Tablet,2026-02-15,112,Yes,3,Card,Success
27,2733,21,Male,India,Standard,269,Face Upon,Movie,Action,2006,Christopher Brown,Tablet,2025-08-06,86,No,2,NetBanking,Success
28,4470,53,Male,Canada,Basic,597,Truth Effect,Movie,Documentary,2020,Dominic Matthews,Tablet,2026-04-26,92,Yes,5,UPI,Success
29,2932,41,Male,USA,Family,683,Fill Part,Movie,Romance,2025,Stacy Olson,Laptop,2025-09-23,72,No,2,NetBanking,Success
30,1451,44,Female,India,Premium,755,Tv Fly,Series,Romance,2005,Ruth Dawson,Tablet,2026-07-27,127,Yes,5,NetBanking,Success
31,318,33,Female,India,Family,837,Child Own,Series,Drama,2001,William Rivera,Laptop,2026-06-15,72,No,4,Card,Success
32,569,32,Female,India,Premium,522,Else Region,Series,Drama,2010,Mr. Matthew Ramirez DDS,Laptop,2025-12-29,181,Yes,4,UPI,Success
33,4888,34,Female,India,Student,806,Stock Town,Series,Drama,2006,Mrs. Cassandra Rogers,Tablet,2026-05-06,84,No,2,NetBanking,Failed
34,3573,25,Male,India,Premium,826,Everything Task,Movie,Sci-Fi,2006,William Diaz,Laptop,2025-09-18,108,Yes,2,Card,Success
