user_id,user_age,gender,country,subscription_plan
1,18,Male,India,Premium
2,21,Male,USA,Family
3,27,Male,India,Premium
4,33,Male,India,Premium
5,34,Female,India,Premium
6,59,Female,India,Student
7,40,Female,India,Basic
8,34,Male,USA,Basic
9,45,Male,UK,Premium
10,38,Female,India,Family
11,41,Male,India,Basic
12,62,Male,India,Standard
13,20,Male,India,Basic
14,29,Female,Australia,Standard
15,29,Female,Canada,Premium
16,51,Female,India,Premium
17,19,Female,India,Basic
18,49,Female,India,Family
19,23,Male,India,Standard
20,38,Male,UK,Standard
21,53,Male,USA,Family
22,33,Female,India,Standard
23,58,Male,India,Standard
24,52,Male,India,Standard
25,47,Male,India,Standard
26,57,Female,India,Standard
27,20,Female,India,Basic
28,18,Male,India,Premium
29,53,Female,India,Standard
30,22,Male,India,Basic
31,24,Male,USA,Family
32,18,Female,USA,Family
33,54,Female,Australia,Standard
34,35,Male,India,Premium
35,34,Female,India,Student
36,19,Male,Australia,Standard
37,51,Female,UK,Standard
38,65,Male,India,Premium
39,45,Male,USA,Basic
40,40,Female,Australia,Basic
41,55,Female,India,Standard
42,31,Female,India,Premium
43,53,Female,Australia,Standard
44,24,Female,India,Basic
45,18,Female,India,Family
46,27,Female,USA,Premium
47,38,Female,Australia,Family
48,34,Female,India,Standard
49,47,Male,Canada,Student
50,40,Male,India,Basic
51,60,Female,India,Basic
52,30,Female,Australia,Standard
53,56,Male,UK,Basic
54,25,Female,Canada,Standard
55,25,Male,Canada,Premium
56,39,Female,India,Standard
57,50,Male,USA,Standard
58,52,Male,India,Premium
59,20,Male,USA,Standard
60,65,Male,Australia,Basic
61,37,Female,India,Family
62,32,Female,India,Standard
63,24,Male,USA,Standard
64,40,Male,India,Basic
65,63,Female,Australia,Student
66,50,Male,Canada,Premium
67,56,Male,India,Premium
68,62,Male,USA,Standard
69,51,Male,India,Basic
70,45,Male,UK,Premium
71,20,Male,India,Basic
72,36,Male,India,Basic
73,31,Female,India,Basic
74,25,Male,India,Standard
75,18,Female,UK,Standard
76,21,Male,India,Family
77,27,Female,Canada,Premium
78,19,Male,India,Student
79,29,Female,India,Standard
80,39,Male,India,Basic
81,65,Male,India,Standard
82,56,Female,Australia,Premium
83,35,Female,India,Basic
84,18,Male,India,Premium
85,42,Female,Australia,Student
86,57,Female,India,Basic
87,46,Female,Australia,Student
88,44,Male,India,Premium
89,30,Female,India,Premium
90,53,Male,India,Premium
91,57,Female,India,Premium
92,32,Female,India,Standard
93,37,Male,India,Basic
94,52,Male,India,Student
95,48,Male,India,Standard
96,56,Male,UK,Standard
97,54,Female,India,Basic
98,40,Female,USA,Standard
99,51,Female,India,Basic
100,36,Male,USA,Premium
101,59,Female,India,Basic
102,53,Female,India,Standard
103,32,Male,USA,Standard
104,48,Female,India,Standard
105,53,Female,UK,Family
106,65,Male,India,Family
107,20,Male,India,Student
108,21,Female,Canada,Basic
109,19,Male,India,Premium
110,43,Female,India,Family
111,35,Male,India,Premium
112,38,Male,Australia,Standard
113,48,Female,India,Family
114,47,Male,UK,Standard
115,48,Female,India,Basic
116,39,Female,UK,Standard
117,42,Female,India,Standard
118,25,Female,India,Basic
119,33,Male,Canada,Standard
120,50,Male,Canada,Basic
121,26,Female,India,Premium
122,43,Female,India,Premium
123,42,Female,Canada,Premium
124,55,Female,UK,Premium
125,41,Male,India,Basic
126,57,Female,India,Standard
127,63,Female,UK,Standard
128,20,Female,India,Family
129,35,Female,India,Basic
130,49,Female,India,Standard
131,45,Female,India,Basic
132,42,Male,India,Standard
133,50,Male,India,Standard
134,22,Male,UK,Premium
135,24,Female,India,Family
136,18,Male,USA,Student
137,38,Female,Canada,Premium
138,52,Female,India,Basic
139,38,Male,India,Premium
140,54,Male,India,Basic
141,22,Female,India,Student
142,43,Female,India,Family
143,50,Female,India,Basic
144,60,Female,India,Standard
145,62,Female,India,Student
146,32,Female,USA,Premium
147,36,Female,India,Family
148,35,Female,Canada,Student
149,30,Female,India,Student
150,40,Male,Australia,Family
151,35,Male,UK,Student
152,30,Female,India,Standard
153,21,Male,USA,Premium
154,54,Male,Australia,Premium
155,39,Female,India,Basic
156,59,Female,India,Basic
157,38,Male,Australia,Standard
158,44,Male,UK,Premium
159,43,Female,India,Premium
160,55,Male,India,Standard
161,49,Female,UK,Basic
162,52,Male,USA,Premium
163,21,Male,India,Standard
164,29,Female,India,Basic
165,46,Male,India,Standard
166,64,Female,UK,Student
167,33,Female,Australia,Premium
168,21,Male,India,Premium
169,37,Male,India,Student
170,40,Male,India,Student
171,28,Female,India,Standard
172,57,Female,USA,Basic
173,28,Male,India,Premium
174,65,Male,India,Standard
175,29,Female,USA,Standard
176,52,Female,India,Standard
177,52,Male,India,Basic
178,48,Female,India,Basic
179,38,Male,Canada,Standard
180,43,Male,India,Standard
181,55,Female,India,Family
182,22,Female,India,Premium
183,31,Female,India,Standard
184,36,Female,Canada,Basic
185,46,Female,India,Student
186,64,Male,Canada,Basic
187,54,Female,Australia,Premium
188,37,Female,Australia,Student
189,30,Female,India,Premium
190,32,Female,USA,Premium
191,34,Female,Canada,Standard
192,24,Female,Canada,Standard
193,63,Male,India,Premium
194,63,Male,Australia,Family
195,26,Male,Australia,Student
196,21,Male,Australia,Premium
197,28,Male,India,Premium
198,43,Female,Australia,Premium
199,39,Male,India,Family
200,29,Female,India,Student
201,48,Male,Canada,Student
202,44,Male,USA,Basic
203,33,Male,India,Standard
204,42,Female,UK,Standard
205,33,Female,Canada,Standard
206,56,Female,UK,Family
207,44,Male,India,Student
208,32,Female,India,Standard
209,27,Female,India,Basic
210,28,Male,India,Standard
211,50,Female,India,Student
212,27,Male,India,Premium
213,45,Female,India,Premium
214,51,Female,India,Premium
215,61,Female,India,Standard
216,45,Male,India,Standard
217,47,Female,India,Standard
218,41,Male,USA,Standard
219,44,Male,India,Premium
220,24,Male,UK,Basic
221,40,Male,Australia,Family
222,32,Male,India,Standard
223,57,Female,India,Basic
224,48,Male,India,Family
225,24,Female,India,Basic
226,18,Female,India,Standard
227,40,Male,Canada,Standard
228,48,Female,India,Student
229,38,Female,India,Basic
230,60,Female,India,Standard
231,42,Male,India,Standard
232,55,Female,Australia,Premium
233,43,Female,USA,Standard
234,41,Male,India,Standard
235,61,Male,USA,Standard
236,59,Male,India,Premium
237,55,Male,India,Basic
238,22,Male,India,Standard
239,36,Male,India,Premium
240,29,Male,UK,Student
