watch_id,user_id,content_id,device,watch_date,minutes_watched,completed,rating
1,840,33,Mobile,2025-12-27,147,Yes,3
2,3437,285,Smart TV,2026-06-04,82,No,5
3,3113,353,Mobile,2025-12-25,97,Yes,3
4,2963,47,Laptop,2025-12-25,140,Yes,3
5,3033,274,Smart TV,2026-04-06,105,Yes,4
6,1800,795,Smart TV,2026-03-26,105,Yes,5
7,2578,406,Smart TV,2026-05-15,141,Yes,5
8,4781,142,Mobile,2026-02-17,125,Yes,4
9,3153,480,Mobile,2026-03-21,75,No,4
10,914,465,Laptop,2026-02-06,95,Yes,4
11,4159,781,Mobile,2026-07-26,75,No,5
12,1962,581,Mobile,2026-06-22,100,Yes,5
13,3894,894,Smart TV,2025-08-17,141,Yes,3
14,3589,231,Laptop,2025-10-27,71,No,4
15,1876,881,Mobile,2026-04-22,50,No,4
16,4678,485,Smart TV,2025-09-24,120,Yes,5
17,807,348,Smart TV,2025-11-23,89,No,5
18,618,877,Mobile,2026-07-25,91,Yes,3
19,3330,886,Mobile,2025-11-17,66,No,3
20,4553,304,Mobile,2025-10-12,56,No,3
21,4351,521,Smart TV,2025-11-07,114,Yes,4
22,4871,430,Laptop,2026-01-12,105,Yes,3
23,3746,75,Tablet,2025-12-05,111,Yes,4
24,2860,379,Smart TV,2025-09-04,81,No,3
25,65,107,Laptop,2025-08-08,74,No,5
26,2809,874,Tablet,2026-02-15,112,Yes,3
27,2733,269,Tablet,2025-08-06,86,No,2
28,4470,597,Tablet,2026-04-26,92,Yes,5
29,2932,683,Laptop,2025-09-23,72,No,2
30,1451,755,Tablet,2026-07-27,127,Yes,5
31,318,837,Laptop,2026-06-15,72,No,4
32,569,522,Laptop,2025-12-29,181,Yes,4
33,4888,806,Tablet,2026-05-06,84,No,2
34,3573,826,Laptop,2025-09-18,108,Yes,2
35,2461,335,Laptop,2026-02-13,155,Yes,5
36,4663,854,Laptop,2026-03-27,85,No,5
37,1751,816,Mobile,2025-12-02,114,Yes,4
38,2543,151,Mobile,2025-10-25,45,No,3
39,4716,394,Tablet,2025-09-06,58,No,5
40,3483,713,Mobile,2025-12-12,88,No,5
41,4579,454,Tablet,2026-06-29,99,Yes,4
42,4271,282,Mobile,2026-06-23,88,No,4
43,1895,724,Mobile,2026-07-08,82,No,3
44,4785,784,Tablet,2026-01-26,78,No,4
45,4474,280,Tablet,2025-12-15,55,No,4
46,1046,607,Mobile,2026-03-01,95,Yes,5
47,2678,389,Tablet,2026-02-25,100,Yes,3
48,563,254,Mobile,2026-07-03,161,Yes,3
49,2100,622,Smart TV,2025-10-25,91,Yes,4
50,1625,851,Mobile,2025-12-26,90,Yes,4
51,2845,71,Mobile,2026-03-28,91,Yes,5
52,1254,535,Tablet,2026-01-17,102,Yes,4
53,710,250,Tablet,2026-06-25,96,Yes,5
54,2291,530,Mobile,2026-01-30,122,Yes,3
55,4021,96,Smart TV,2026-01-22,130,Yes,4
56,3486,465,Laptop,2026-02-16,128,Yes,4
57,1517,496,Laptop,2026-07-06,68,No,5
58,1037,56,Smart TV,2026-07-17,78,No,5
59,3609,53,Tablet,2026-04-26,91,Yes,4
60,1223,255,Tablet,2026-04-06,159,Yes,2
61,2436,636,Mobile,2025-10-14,123,Yes,5
62,1283,706,Laptop,2026-01-17,81,No,4
63,2168,558,Smart TV,2025-09-28,62,No,5
64,4663,480,Tablet,2026-05-31,61,No,5
65,4946,235,Laptop,2025-12-30,155,Yes,5
66,4796,504,Tablet,2026-04-01,168,Yes,3
67,4059,411,Tablet,2026-04-09,83,No,4
68,10,193,Tablet,2025-11-20,105,Yes,4
69,3971,646,Smart TV,2025-10-10,144,Yes,4
70,3781,158,Laptop,2026-04-04,97,Yes,5
71,1185,614,Mobile,2025-11-11,92,Yes,4
72,2318,594,Smart TV,2025-08-22,115,Yes,5
73,2637,245,Smart TV,2025-12-27,84,No,4
74,1247,130,Mobile,2025-09-21,116,Yes,4
75,1265,272,Tablet,2026-05-19,32,No,5
76,3998,241,Smart TV,2025-09-03,101,Yes,5
77,2454,816,Laptop,2025-12-13,137,Yes,4
78,1393,892,Smart TV,2025-12-24,104,Yes,5
79,77,694,Mobile,2026-03-20,137,Yes,3
80,2475,874,Mobile,2026-03-23,45,No,3
81,3243,886,Tablet,2025-11-09,80,No,1
82,2054,643,Laptop,2026-05-06,117,Yes,3
83,3404,806,Laptop,2026-06-04,114,Yes,4
84,944,145,Tablet,2026-06-29,99,Yes,4
85,2148,381,Smart TV,2025-12-27,114,Yes,4
86,3804,120,Mobile,2026-06-27,122,Yes,2
87,3717,761,Smart TV,2026-03-14,128,Yes,3
88,3036,242,Mobile,2026-02-28,91,Yes,2
89,3726,658,Mobile,2026-03-21,99,Yes,5
90,1698,239,Smart TV,2026-02-02,120,Yes,5
91,212,809,Laptop,2026-05-17,137,Yes,3
92,3902,526,Tablet,2026-02-18,129,Yes,5
93,2471,32,Tablet,2026-03-04,70,No,5
94,2639,282,Tablet,2025-11-19,78,No,5
95,4517,234,Laptop,2025-08-30,102,Yes,5
96,1251,852,Mobile,2026-05-07,80,No,3
97,4601,421,Tablet,2026-01-20,90,Yes,4
98,1268,111,Laptop,2026-01-09,115,Yes,4
99,4561,674,Mobile,2026-06-14,110,Yes,5
100,4640,759,Mobile,2026-02-05,105,Yes,5
101,2658,160,Mobile,2025-11-06,81,No,4
102,1766,114,Tablet,2025-08-20,101,Yes,4
103,2470,783,Laptop,2026-02-10,78,No,1
104,1886,883,Tablet,2026-01-17,68,No,4
105,3422,22,Smart TV,2026-01-12,130,Yes,4
106,3570,406,Laptop,2026-04-25,93,Yes,3
107,2863,839,Smart TV,2025-07-31,182,Yes,4
108,1452,578,Laptop,2025-09-17,88,No,5
109,4845,76,Tablet,2025-09-05,115,Yes,5
110,740,568,Tablet,2025-10-18,83,No,5
111,2814,177,Smart TV,2025-12-13,87,No,4
112,2318,347,Laptop,2025-09-27,134,Yes,4
113,4938,597,Laptop,2025-11-05,111,Yes,5
114,2537,337,Mobile,2025-08-31,134,Yes,5
115,2800,141,Mobile,2025-11-21,106,Yes,5
116,310,633,Tablet,2026-06-21,142,Yes,5
117,358,737,Tablet,2025-08-17,84,No,5
118,3843,585,Tablet,2026-02-20,86,No,4
119,4954,54,Laptop,2026-06-18,107,Yes,3
120,1314,526,Tablet,2026-04-21,100,Yes,2
121,3248,84,Smart TV,2026-05-06,100,Yes,4
122,314,484,Tablet,2026-04-08,112,Yes,3
123,4988,296,Laptop,2026-04-06,138,Yes,4
124,4095,589,Smart TV,2026-01-09,99,Yes,3
125,702,539,Tablet,2026-05-26,149,Yes,5
126,554,673,Laptop,2026-07-07,153,Yes,4
127,3807,831,Mobile,2025-08-09,110,Yes,5
128,344,528,Tablet,2026-03-12,98,Yes,3
129,2720,377,Tablet,2026-04-14,111,Yes,2
130,4254,745,Mobile,2025-08-03,74,No,4
131,2422,735,Smart TV,2026-01-28,78,No,4
132,3564,811,Mobile,2025-11-16,86,No,4
133,1170,69,Laptop,2026-07-05,108,Yes,5
134,3048,588,Laptop,2026-06-18,94,Yes,5
135,4242,121,Laptop,2025-10-30,66,No,3
136,1112,731,Mobile,2025-09-10,115,Yes,3
137,2458,718,Laptop,2026-07-18,115,Yes,4
138,4539,565,Mobile,2026-03-27,103,Yes,1
139,4710,325,Tablet,2025-10-07,155,Yes,4
140,1491,890,Mobile,2026-03-19,60,No,4
141,4251,257,Laptop,2026-07-22,89,No,4
142,4757,640,Mobile,2025-11-04,167,Yes,4
143,3413,643,Laptop,2025-11-26,77,No,5
144,3602,209,Smart TV,2025-10-22,113,Yes,2
145,3036,478,Laptop,2026-01-24,90,Yes,3
146,2034,592,Smart TV,2026-01-28,100,Yes,4
147,3222,221,Mobile,2026-04-17,60,No,1
148,67,271,Tablet,2026-05-10,101,Yes,3
149,3165,287,Smart TV,2026-06-14,95,Yes,3
150,4171,47,Smart TV,2026-07-03,115,Yes,3
151,2610,632,Laptop,2026-04-20,90,Yes,3
152,3018,427,Mobile,2025-09-14,143,Yes,5
153,421,645,Smart TV,2025-10-11,71,No,3
154,3431,209,Tablet,2026-03-29,89,No,4
155,3919,178,Laptop,2026-02-13,115,Yes,5
156,1576,306,Laptop,2026-01-27,70,No,4
157,2241,693,Tablet,2026-07-23,147,Yes,4
158,3624,220,Laptop,2026-03-29,119,Yes,2
159,4351,54,Tablet,2025-12-26,105,Yes,3
160,1294,900,Tablet,2025-07-30,98,Yes,5
161,4704,741,Smart TV,2026-04-18,110,Yes,2
162,4059,894,Mobile,2025-09-07,100,Yes,4
163,4451,138,Laptop,2026-05-05,108,Yes,4
164,116,582,Smart TV,2026-07-26,93,Yes,5
165,782,489,Smart TV,2026-06-01,159,Yes,4
166,4694,369,Mobile,2025-11-29,118,Yes,4
167,962,227,Smart TV,2026-03-23,155,Yes,5
168,3858,697,Tablet,2026-07-15,147,Yes,4
169,4141,154,Laptop,2025-11-02,80,No,4
170,3650,526,Tablet,2025-12-21,116,Yes,5
171,25,47,Laptop,2026-01-11,92,Yes,4
172,3350,785,Laptop,2026-05-26,68,No,2
173,1090,551,Smart TV,2025-12-15,133,Yes,5
174,4461,844,Smart TV,2025-10-03,91,Yes,5
175,3435,69,Mobile,2025-11-23,90,Yes,3
176,1920,795,Smart TV,2025-12-19,126,Yes,4
177,2627,147,Tablet,2025-11-23,135,Yes,4
178,3500,353,Laptop,2026-02-23,114,Yes,4
179,1847,148,Mobile,2026-02-08,79,No,4
180,2706,868,Mobile,2026-03-03,139,Yes,3
181,597,602,Tablet,2026-05-30,122,Yes,4
182,962,713,Tablet,2026-05-29,67,No,5
183,2947,823,Laptop,2025-11-23,108,Yes,4
184,2137,201,Smart TV,2026-04-15,94,Yes,3
185,4003,751,Smart TV,2026-05-09,129,Yes,4
186,4293,77,Mobile,2025-10-07,99,Yes,5
187,3736,654,Tablet,2026-04-20,146,Yes,3
